2016-11-10 16:43
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          4     7.05401e-02     1.03584e+01     3.63302e+02
         2          5     1.00000e+00     4.64458e+00     1.81635e+02
         3          6     1.00000e+00     1.91450e+00     8.04633e+01
         4          7     1.00000e+00     9.42867e-01     3.58014e+01
         5          8     1.00000e+00     6.09423e-01     1.39161e+01
         6          9     1.00000e+00     5.31350e-01     4.29618e+00
         7         10     1.00000e+00     5.21531e-01     8.34680e-01
         8         11     1.00000e+00     5.21123e-01     9.38337e-02
         9         12     1.00000e+00     5.21111e-01     5.95768e-02
        10         13     1.00000e+00     5.21095e-01     9.72834e-02
        11         14     1.00000e+00     5.21076e-01     1.00580e-01
        12         15     1.00000e+00     5.21050e-01     8.04729e-02
        13         16     1.00000e+00     5.20986e-01     1.23374e-01
        14         17     1.00000e+00     5.20892e-01     2.18020e-01
        15         18     1.00000e+00     5.20629e-01     4.37016e-01
        16         19     1.00000e+00     5.19936e-01     8.02123e-01
        17         20     1.00000e+00     5.19065e-01     9.37803e-01
        18         21     1.00000e+00     5.18363e-01     6.95071e-01
        19         22     1.00000e+00     5.18087e-01     3.55525e-01
        20         23     1.00000e+00     5.17926e-01     5.80827e-02
        21         24     1.00000e+00     5.17919e-01     2.90004e-02
        22         25     1.00000e+00     5.17916e-01     2.96197e-02
        23         26     1.00000e+00     5.17912e-01     4.61025e-02
        24         27     1.00000e+00     5.17903e-01     6.83087e-02
        25         28     1.00000e+00     5.17884e-01     9.86052e-02
        26         29     1.00000e+00     5.17840e-01     1.34436e-01
        27         30     1.00000e+00     5.17740e-01     1.77635e-01
        28         31     1.00000e+00     5.17662e-01     4.14317e-01
        29         32     1.00000e+00     5.17393e-01     1.91269e-01
        30         33     1.00000e+00     5.17113e-01     1.57602e-01
        31         34     1.00000e+00     5.17043e-01     1.05292e-01
        32         36     1.84712e-01     5.17036e-01     9.67249e-02
        33         37     1.00000e+00     5.17032e-01     4.77467e-02
        34         38     1.00000e+00     5.17024e-01     3.64279e-02
        35         39     1.00000e+00     5.17016e-01     4.23767e-02
        36         40     1.00000e+00     5.17008e-01     5.91596e-02
        37         41     1.00000e+00     5.16993e-01     9.57941e-02
        38         42     1.00000e+00     5.16971e-01     1.67142e-01
        39         43     1.00000e+00     5.16905e-01     2.86771e-01
        40         44     1.00000e+00     5.16683e-01     7.35629e-01
        41         46     1.12359e-01     5.16597e-01     1.03525e+00
        42         48     3.10388e-01     5.16354e-01     1.29366e+00
        43         49     1.00000e+00     5.15637e-01     1.91117e+00
        44         50     1.00000e+00     5.12695e-01     1.57357e+00
        45         51     1.00000e+00     5.06271e-01     9.40682e-01
        46         52     1.00000e+00     5.05189e-01     8.61110e-01
        47         53     1.00000e+00     5.04606e-01     5.09741e-01
        48         54     1.00000e+00     5.04522e-01     5.39156e-01
        49         55     1.00000e+00     5.04166e-01     3.30003e-01
        50         56     1.00000e+00     5.04092e-01     1.74645e-01
        51         58     2.24919e-01     5.04082e-01     1.46342e-01
        52         60     2.16444e-01     5.04073e-01     1.28701e-01
        53         62     2.05881e-01     5.04061e-01     1.24510e-01
        54         64     1.96972e-01     5.04053e-01     1.15504e-01
        55         66     2.15057e-01     5.04040e-01     1.34027e-01
        56         68     2.17653e-01     5.04016e-01     1.75444e-01
        57         70     2.22759e-01     5.03986e-01     2.02922e-01
        58         72     2.55955e-01     5.03935e-01     2.51077e-01
        59         74     2.70497e-01     5.03836e-01     3.34822e-01
        60         76     2.74067e-01     5.03712e-01     3.72265e-01
        61         78     3.28350e-01     5.03501e-01     4.50235e-01
        62         79     1.00000e+00     5.03401e-01     8.09451e-01
        63         80     1.00000e+00     5.02415e-01     9.99982e-01
        64         81     1.00000e+00     5.00369e-01     1.03186e+00
        65         83     4.76252e-01     4.93234e-01     1.18596e+00
        66         84     1.00000e+00     4.90372e-01     7.04865e-01
        67         85     1.00000e+00     4.89021e-01     5.92705e-01
        68         87     3.25502e-01     4.88859e-01     3.57785e-01
        69         88     1.00000e+00     4.88608e-01     1.75165e-01
        70         89     1.00000e+00     4.88598e-01     1.50297e-01
        71         90     1.00000e+00     4.88507e-01     1.24600e-01
        72         91     1.00000e+00     4.88407e-01     1.67580e-01
        73         92     1.00000e+00     4.88318e-01     1.76297e-01
        74         93     1.00000e+00     4.88090e-01     3.09245e-01
        75         94     1.00000e+00     4.87670e-01     5.12336e-01
        76         95     1.00000e+00     4.86862e-01     7.89626e-01
        77         96     1.00000e+00     4.85531e-01     1.08523e+00
        78         97     1.00000e+00     4.83285e-01     8.99596e-01
        79         98     1.00000e+00     4.81871e-01     1.17332e+00
        80         99     1.00000e+00     4.79860e-01     4.17621e-01
        81        100     1.00000e+00     4.79763e-01     1.78704e-01
        82        101     1.00000e+00     4.79684e-01     1.16926e-01
        83        102     1.00000e+00     4.79644e-01     9.71428e-02
        84        103     1.00000e+00     4.79614e-01     1.05653e-01
        85        104     1.00000e+00     4.79576e-01     1.20945e-01
        86        105     1.00000e+00     4.79485e-01     1.87968e-01
        87        106     1.00000e+00     4.79187e-01     4.27898e-01
        88        107     1.00000e+00     4.78622e-01     5.33862e-01
        89        108     1.00000e+00     4.77414e-01     7.20564e-01
        90        110     4.53502e-01     4.76467e-01     7.62175e-01
        91        111     1.00000e+00     4.74920e-01     3.71009e-01
        92        112     1.00000e+00     4.74486e-01     2.13706e-01
        93        113     1.00000e+00     4.74361e-01     1.26962e-01
        94        114     1.00000e+00     4.74338e-01     8.34518e-02
        95        115     1.00000e+00     4.74303e-01     8.44573e-02
        96        116     1.00000e+00     4.74287e-01     1.03076e-01
        97        117     1.00000e+00     4.74214e-01     1.59817e-01
        98        118     1.00000e+00     4.74120e-01     2.42141e-01
        99        119     1.00000e+00     4.73862e-01     2.81582e-01
       100        120     1.00000e+00     4.73092e-01     7.68240e-01
       101        121     1.00000e+00     4.71961e-01     5.38723e-01
       102        122     1.00000e+00     4.70672e-01     3.22105e-01
       103        123     1.00000e+00     4.70247e-01     4.23354e-01
       104        124     1.00000e+00     4.70003e-01     2.89617e-01
       105        125     1.00000e+00     4.69927e-01     7.65005e-02
       106        127     2.03898e-01     4.69926e-01     7.44770e-02
       107        128     1.00000e+00     4.69899e-01     8.27145e-02
       108        129     1.00000e+00     4.69879e-01     8.10890e-02
       109        130     1.00000e+00     4.69821e-01     1.24789e-01
       110        131     1.00000e+00     4.69620e-01     2.34944e-01
       111        132     1.00000e+00     4.69288e-01     3.86582e-01
       112        133     1.00000e+00     4.68651e-01     4.93249e-01
       113        134     1.00000e+00     4.67718e-01     3.63456e-01
       114        135     1.00000e+00     4.67274e-01     3.05036e-01
       115        136     1.00000e+00     4.67182e-01     2.27857e-01
       116        137     1.00000e+00     4.67085e-01     6.44960e-02
       117        143     0.00000e+00     4.67085e-01     6.44960e-02
Step Size below TolX

========================================================================================

